id,name,brand,category,volume_size,current_price_rsd,original_price_rsd,url_slug,image_url
227,Redken Control Spray 28,Redken,Styling,400ml,4140,,r-sty22-control28-sprej-kosa-400ml,https://www.altamoda.rs/uploads/store/products/images/r-sty22-control28-sprej-kosa-400ml-636e2a982f1ee.webp
228,Matrix Vavoom Extra Full Hairspray,Matrix,Styling,500ml,2880,,m-vav-frz-ext-ful-lak-za-kosu-500ml,https://www.altamoda.rs/uploads/store/products/images/m-vav-frz-ext-ful-lak-za-kosu-500ml-6347c2ae662db.webp
229,Matrix Vavoom Triple Freeze Hairspray,Matrix,Styling,300ml,2460,,m-vav-trp-frz-dry-lak-za-kosu-300ml,https://www.altamoda.rs/uploads/store/products/images/m-vav-trp-frz-dry-lak-za-kosu-300ml-6347c2bd2ce2b.webp
230,Redken All Soft Moisture Restore Leave-In,Redken,Leave-in,150ml,4920,,all-soft-leave-in-150ml,https://www.altamoda.rs/uploads/store/products/images/all-soft-leave-in-150ml-63468feed8f99.webp
231,Redken Beach Spray,Redken,Styling,125ml,4440,,r-sty-beach-sprej-kosa-125ml,https://www.altamoda.rs/uploads/store/products/images/r-sty-beach-sprej-kosa-125ml-63199678719c7.webp
232,Matrix InstaCure Conditioner,Matrix,Conditioner,300ml,2100,,m-tr-instacr-balzam-kosa-300ml,https://www.altamoda.rs/uploads/store/products/images/m-tr-instacr-balzam-kosa-300ml-6514072da619b.webp
233,Matrix InstaCure Shampoo,Matrix,Shampoo,300ml,2100,,m-tr-instacr-sampon-300ml,https://www.altamoda.rs/uploads/store/products/images/m-tr-instacr-sampon-300ml-654e4b072aece.webp
234,Matrix A Curl Can Dream Shampoo,Matrix,Shampoo,300ml,2000,,m-tr-curl-sampon-300ml,https://www.altamoda.rs/uploads/store/products/images/m-tr-curl-sampon-300ml-650bf4e101011.webp
235,Matrix A Curl Can Dream Hydrating Cream,Matrix,Treatment,500ml,3960,,m-tr-curl-krema-za-kosu-500ml,https://www.altamoda.rs/uploads/store/products/images/m-tr-curl-krema-za-kosu-500ml-6526a69fa8b2d.webp
236,Redken One United Multi-Benefit Spray,Redken,Styling,150ml,4500,,one-unitd-sprej-kosa-25u1-150ml,https://www.altamoda.rs/uploads/store/products/images/one-unitd-sprej-kosa-25u1-150ml-68554a35874d7.webp
