category,ourId,ourName,reason_or_bestScore
unmatched,cmnki2gqe007o9pq341ozt81p,"Redken Shades EQ 09V  Platinium Ice 60ml",0.50
unmatched,cmnki2h7d00o59pq32bxwm0pa,"WELLA Koleston Perfect 5/0 60ml",0.60
unmatched,cmnki2h7e00o69pq3l2ioj54z,"WELLA Koleston Perfect 6/0 60ml",0.60
unmatched,cmnki2h7f00o79pq38vrhhszp,"WELLA Koleston Perfect 7/0 60ml",0.60
unmatched,cmnki2h7g00o89pq3acahpcp0,"WELLA Koleston Perfect 8/0 60ml",0.60
unmatched,cmnki2gqq00809pq3izptbycu,"Redken Shades EQ 06KK Curry 60ml",0.57
unmatched,cmnki2gqs00829pq3dff3byi5,"Redken Shades EQ 08KK Cayenne 60ml",0.57
unmatched,cmnki2h7g00o99pq3v7g4ckqo,"WELLA Koleston Perfect 9/0 60ml",0.60
unmatched,cmnki2h7h00oa9pq39zv2b79y,"WELLA Koleston Perfect 10/0 60ml",0.50
unmatched,cmnki2gqu00849pq35ewh8tj9,"Redken Shades EQ 08GG Gold Dip 60ml",0.71
unmatched,cmnki2h1m00if9pq3f6lvm6r9,"Biolage Hydrasource regenerator 200ml",0.40
unmatched,cmnki2gr2008a9pq3q1phahfy,"Redken Shades EQ 09NA Mist",0.43
unmatched,cmnki2h7i00ob9pq34xn8ntg2,"WELLA Koleston Perfect 3/00 60ml",0.50
unmatched,cmnki2h7j00oc9pq3nzkyxq5m,"WELLA Koleston Perfect 4/00 60ml",0.50
unmatched,cmnki2h7k00od9pq3hwxq98fq,"WELLA Koleston Perfect 5/00 60ml",0.50
unmatched,cmnki2gr6008g9pq3j26c28tx,"Redken Shades EQ 05KB Brownstone 60ml",0.57
unmatched,cmnki2gr8008i9pq3jhoph0uc,"Redken Shades EQ 06R Rocket Fire 60ml",0.50
unmatched,cmnki2h7l00oe9pq3tbtwgf6a,"WELLA Koleston Perfect 6/00 60ml",0.50
unmatched,cmnki2h7m00of9pq326omids7,"WELLA Koleston Perfect 7/00 60ml",0.50
unmatched,cmnki2gu400ba9pq32x29mr4h,"Redken Color Extend Magnetics šampon - mini 50ml",0.30
unmatched,cmnki2grc008m9pq3os6m7g5j,"Redken Shades EQ Pastel/Sheer Glow Peach  60ml",0.44
unmatched,cmnki2grk008v9pq351zobv0u,"Redken Shades EQ 07RR Flame 60ml",0.57
unmatched,cmnki2h7n00og9pq35vu7ujnt,"WELLA Koleston Perfect 8/00 60ml",0.50
unmatched,cmnki2h7o00oh9pq3hkle9bnc,"WELLA Koleston Perfect 9/00 60ml",0.50
unmatched,cmnki2grp008z9pq35gptodaa,"Redken Shades EQ 04NA Storm Cloud 60ml",0.50
unmatched,cmnki2gro008y9pq3r4vur8aq,"Redken Shades EQ 06NA Granite 60ml",0.57
unmatched,cmnki2h1k00id9pq3gg0s6bew,"Biolage Fulldensity šampon 1000ml",0.40
unmatched,cmnki2gs9009k9pq3bhf17oow,"Redken Blond Idol Base Breaker Cool Shade 60ml",0.18
unmatched,cmnki2grx00989pq31hvnxv4k,"Redken Shades EQ 06VRo/Mauve Rose 60ml",0.50
unmatched,cmnki2gst00a49pq3qge8jpdh,"Redken Blonde Idol Blond Glam pasta",0.38
unmatched,cmnki2gsz00aa9pq35ixmfd7x,"REDKEN Ph Bonder Full Size Kit (4x Step1, 1xstep2)",0.10
unmatched,cmnki2gt400ae9pq3oqb79xoj,"REDKEN FRIZZ DISMISS SHAMPOO  1000ml",0.29
unmatched,cmnki2gt600af9pq3kyx9c9gj,"REDKEN FRIZZ DISMISS CONDITIONER  1000ml",0.29
unmatched,cmnki2gt200ac9pq3c7ol4b5e,"Redken Vector Plus Original",0.20
unmatched,cmnki2gs8009j9pq3p1xezpo9,"Redken Blond Idol Base Breaker Clear 60ml",0.20
unmatched,cmnki2gsi009u9pq3hoooc2fl,"Redken Blond Idol Color High Lift Blue Ash .11  60ml",0.17
unmatched,cmnki2gsi009v9pq3ze1c3u48,"Redken Blond Idol Color High Lift Mocha Pearl .89  60ml",0.17
unmatched,cmnki2gsy00a99pq3ohyln778,"Redken ph-Bonder Salon Sampler Kit ",0.14
unmatched,cmnki2gt100ab9pq3ihc9a2lt,"Redken ph-Bonder kućni tretman",0.17
unmatched,cmnki2gte00am9pq3d31n4767,"R CLR EXTND AF SUN Šampon 300ml",0.29
unmatched,cmnki2gtg00an9pq36dx7wtob,"R CLR EXTND AF SUN Maska kosa 250ml",0.20
